Justice,Justice_1,Justice_2,State[c],Position,Succeeded,Date confirmed(Vote),Tenure,Tenure length[d],Nominated by
1,1,1,NY,ChiefJustice,Inaugural,"September 26, 1789(Acclamation)","October 19, 1789–June 29, 1795(Resigned)","5 years, 253 days",George Washington
2,2,2,SC,AssociateJustice,Inaugural,"September 26, 1789(Acclamation)","February 15, 1790–March 4, 1791(Resigned)","1 year, 17 days",George Washington
3,3,3,MA,AssociateJustice,Inaugural,"September 26, 1789(Acclamation)","February 2, 1790–September 13, 1810(Died)","20 years, 223 days",George Washington
4,4,4,PA,AssociateJustice,Inaugural,"September 26, 1789(Acclamation)","October 5, 1789–August 21, 1798(Died)","8 years, 320 days",George Washington
5,5,5,VA,AssociateJustice,Inaugural,"September 26, 1789(Acclamation)","February 2, 1790–October 25, 1795(Resigned)","5 years, 265 days",George Washington
6,6,6,NC,AssociateJustice,Inaugural,"February 10, 1790(Acclamation)","May 12, 1790–October 20, 1799(Died)","9 years, 161 days",George Washington
7,7,7,MD,AssociateJustice,J. Rutledge,"November 7, 1791(Acclamation)","August 6, 1792[e]–January 16, 1793(Resigned)",163 days,George Washington
8,8,8,NJ,AssociateJustice,T. Johnson,"March 4, 1793(Acclamation)","March 11, 1793–September 8, 1806(Died)","13 years, 181 days",George Washington
2,2,2,SC,ChiefJustice,Jay,"December 15, 1795(10–14)[f]","August 12, 1795[e]–December 28, 1795(Resigned, nomination having been rejected)",138 days,George Washington
9,9,9,MD,AssociateJustice,Blair,"January 27, 1796(Acclamation)","February 4, 1796–June 19, 1811(Died)","15 years, 135 days",George Washington
10,10,10,CT,ChiefJustice,J. Rutledge,"March 4, 1796(21–1)","March 8, 1796–December 15, 1800(Resigned)","4 years, 282 days",George Washington
11,11,11,VA,AssociateJustice,Wilson,"December 20, 1798(Acclamation)","November 9, 1798[e]–November 26, 1829(Died)","31 years, 17 days",John Adams
12,12,12,NC,AssociateJustice,Iredell,"December 9, 1799(Acclamation)","April 21, 1800–January 26, 1804(Resigned)","3 years, 280 days",John Adams
13,13,13,VA,ChiefJustice,Ellsworth,"January 27, 1801(Acclamation)","February 4, 1801–July 6, 1835(Died)","34 years, 152 days",John Adams
